Cluster 0,"router,unit,broadcast,device,does,wifi,work,wireless,connect,network"
Cluster 1,"google,echo,use,playing,just,device,amazon,alexa,play,music"
Cluster 2,"amazon,like,quality,generation,3rd,2nd,dot,sound,echo,gen"
Cluster 3,"time,tv,app,connect,wifi,amazon,dot,echo,work,alexa"
Cluster 4,"echo,new,speaker,device,service,customer,90,amazon,warranty,months"
