4.0,"Great phone for the price.
  
","September 6, 2019",Yes,"So my wife was in the market for a new iPhone, upgrading from her iPhone 6, which was now obsolete according to several required apps she uses for work. I couldn't bring myself to pay Apple 800 dollars or more for a new basic phone. I tried to get my wife to agree to an Android and that wasn't going to happen. Then I found these Amazon Renewed phones. I wound up saving about 175 dollars on an almost new iPhone Xr.The phone was delivered when it said it would be delivered and does appear as new as possible, less the original packaging and equipment. The box was a repackage box, the power adapter was an unknown USB wall charger and the cable was a lightning cable although it had a crack in the lightning plug housing so it will last about a week.The migration from old phone to new phone took about an hour, with an iOS upgrade in for good measure (this phone came with 12.2 and 12.4 has been out for only a few weeks so it is close to current).Overall, happy about the phone. Time will tell if I run into issues with it lasting but so far all is good.",13
5.0,"Great deal on a pristine phone
  
","June 27, 2019",Yes,"The phone didn't come in an apple box, but the box that it came in was very secure. It came with a charger and a SIM card tool. I have Verizon. I was able to take the sim out of my old iPhone and put it in my new iPhone, that simple no calls needed to Verizon. There was not a single scratch on this phone. It was as it it wasn't even used. The battery life lasts me about 1.5 days, but I'm a pretty heavy user. There are no issues with sound, the ports, or wifi. Such a great deal for such a great phone.",15
5.0,"Don’t listen to all the negative reviews!
  
","August 15, 2019",Yes,"I’ll admit after reading through the reviews I was VERY hesitant but I am BEYOND happy with my purchase.The phone is FLAWLESS. Yes you read that right, absolutely flawless. It came with a glass screen protector already installed and all OEM accessories. Phone has a BRAND NEW 100% capacity battery and is still under factory warranty until May 2020. I understand some of this will vary but this is a review of my experience.I purchased another “renewed” phone, Pixel 2XL, from a different seller and it’s perfectly functional but no where near the condition this iPhone XR arrived in.I just popped my SIM card in and it worked right away. Usually with my carrier I have to call in with the imei number but I didn’t have to. I also tried a GSM SIM card and it worked too, fully unlocked as advertised.Best. Used. Phone. Purchase. Ever.So glad I did not listen to all the negative reviews!",14
1.0,"Phone Not Unlocked
  
","June 8, 2019",Yes,This phone is actually not fully unlocked!,19
3.0,"Crappy chargers
  
","June 24, 2019",Yes,The phone is perfect just wish it came with a good charger come on it came with a android charger with with a iPhone tip adapter 😂wow,17
1.0,"DO NOT WASTE YOUR MONEY ON THIS PHONE
  
","July 27, 2019",Yes,"PLEASE DO NOT BUY THIS PHONE. They say that the phone is unlocked but it is NOT and the only way to get it unlocked is to go to the original carrier, however it is impossible to find out who the carrier was. I bought 3 different SIM cards none of them worked. Talked to so many different carriers to resolve the issue and nothing was resolved. I sent the phone back, got my refund, and purchase a phone directly from Apple. I wish I could get all my time and energy back I used to try and get this phone to work. Disappointed.",13
5.0,"Received faster than expected
  
","May 24, 2019",Yes,It was for my dauther's 16th birthday. She enjoyed it very much and was telling me about all the features.,15
5.0,"I totally recommend this phone
  
","August 27, 2019",Yes,"Very satisfied with this phone. The battery can last up to 3 days, the condition is just as good as new and i’d say it’s worth it.",12
5.0,,"June 2, 2019",No,None,0
1.0,,"May 31, 2019",Yes,"El teléfono parece en buen estado, pero no traía auriculares y el cargador que recibí no sirve... la verdad no aconcejo comprar a este vendedor",14
5.0,,"August 13, 2019",Yes,"La verdad tenia muchas dudas, compre este celular para Ecuador, pero ya llevo una semana y parece completamente nuevo , bateria al 100 % , funciona a la perfeccion.",12
