Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,"Amazing
  
",21.Oct.19,Yes,"Gaming, calling n text.",0
5,"Great phone
  
",21.Oct.19,Yes,I like that I received my phone on a timely manner and it works perfectly fine and it came with a screen protector.,0
1,"Not factory reset!
  
",22.Oct.19,Yes,"When we received the phone, it still had a passcode lock on it. It was not factory reset. Also the battery was not charging after left on the charger for an hour.",2
1,"Scam
  
",25.Oct.19,Yes,I can_ put service on this phone it_ a scam,0
4,"Great phone, OK camera
  
",25.Oct.19,Yes,"Very nice phone, I_ a little disappointed with the camera quality for the amount paid.",0
5,"Excellent product
  
",26.Oct.19,Yes,A excellent product definitely recommend to buy this product! The battery life is amazing! Just an amazing product!!,1
5,"Beautiful phone and very fast
  
",2.Nov.19,Yes,I_ sorry I taught I did a review I just love my iPhone XR I love the color it_ fast I have no problem with my phone I am very happy to have one thank you,0
1,"Internally messed up
  
",4.Nov.19,Yes,The phone is in great physical condition. I have had it a week now.No scratches no cracks. It glitches bad scrolls on its on bad types it_ own things. It will do things and go to things I am not clicking on. I email the seller and never got a reply.,0
1,"Returned
  
",11.Nov.19,Yes,I had to return the phone,1
5,"New IPhone user
  
",12.Nov.19,Yes,New to IPhone after having used mostly Android phones...much better phone overall.,0
5,,19.Nov.19,Yes,El articulo excelente! En todooo! Sólo deberian asegurarse de enviar un buen cargador y una buena cajita,0
3,"No Bluetooth
  
",19.Nov.19,Yes,Phone came in perfect or so I thought. 4 days after receiving the phone I tried to pair my Apple Watch with it and Bluetooth failed and I need to get it fixed already,0
1,"Broken!
  
",20.Nov.19,Yes,"Buttons weren't working properly ,and the phone speaker was almost impossible to hear out of !",0
3,"Not good, rip off
  
",20.Nov.19,Yes,"I ordered this phone and it came with a defect on the screen- where it had been damaged. The screen was scratched up from prior use and had an old screen protector on it. The phone is slow and you can tell something has happened to it. If they are going to sell products at this quality it should be HALF as much as they are selling it for. Not original charger, no headphones.",1
5,"iphone xr: the best phone, best battery life, best price
  
",20.Nov.19,Yes,"I use this iphone every day. It lasts me almost 16 hours of medium use, though that is with the brightness at 0% and screen curtain enabled as a voice over user, it works very nicely. I love the size of it and it was a very drastic jump from my old iphone SE.",0
4,"Almost perfect
  
",21.Nov.19,Yes,"I received the with a few scratches on the screen.  Most were light but one was particularly bothersome.  I decided to keep it anyway.  The seller contacted me and bent over backwards to make me happy.  Ultimately I decided to keep it anyway.  The purchase is risk free as you can exchange or return it and i'm sure this was just an oversight.  The seller is also very customer oriented, so you can be confident they will make it right if there is an issue.",1
5,"Worth it!
  
",22.Nov.19,Yes,This phone is definitely worth the money. The phone came in a very professional packaging (not original packaging but I don_ mind) along with a charger and a screen protector which was great! The phone is free of scratch and dents and I was so impressed considering the price. It_ running smoothly and fine.,0
4,"Can_ download YouTube app
  
",23.Nov.19,Yes,"I thought everything was basically perfect the only thing is it won_ let me download the YouTube App onto my phone, I even spoke with Apple support and went through every which way to try and let me download it but it still wouldn_ let me, im not sure if it_ because I bought its renewed or off of amazon... I honestly don_ really understand exactly what the problem is because it will let me download any other app, it_ alright though I guess I can just watch YouTube off of safari, but yeah basically that was the one and only problem I found with the product other than that it_ great!",2
5,"great value
  
",24.Nov.19,Yes,My phone is perfect.  Such a great value.,0
5,,27.Nov.19,Yes,"En excelentes condiciones, contento con esta compra, el vendedor es muy cumplido es la tercera vez que negocio con el",0
5,"Worth it
  
",29.Nov.19,Yes,"My iphone xr is literally brand new from the looks of things, that battery capacity is amazing. I would recommend this to anyone looking for a good looking phone that performs well and doesnt cost as much as my college tuition.",1
5,"As advertised.. unlocked
  
",2.Dec.19,Yes,The phone is as advertised.. no headphones but good as new. Got my service with cricket without a problem.,0
5,"Fast shipping, perfect battery
  
",3.Dec.19,Yes,"I bought the yellow XR. I LOVE IT. The phone was shipped the SAME day. It arrived two days after I purchased it. It came with a 100% capacity battery, which lasts all day long, with high usage. Not a single scratch, ding or dent on the phone. Screen was perfect. Camera &amp; sound quality are pretty decent. Sometimes you take a chance with refurbished electronics, but this was definitely worth the buy!!",0
